label,index
Apple___Apple_scab,0
Apple___Black_rot,1
Apple___Cedar_apple_rust,2
Apple___healthy,3
Blueberry___healthy,4
Cherry_(including_sour)___healthy,5
Cherry_(including_sour)___Powdery_mildew,6
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,7
Corn_(maize)___Common_rust_,8
Corn_(maize)___healthy,9
Corn_(maize)___Northern_Leaf_Blight,10
Grape___Black_rot,11
Grape___Esca_(Black_Measles),12
Grape___healthy,13
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),14
Orange___Haunglongbing_(Citrus_greening),15
Peach___Bacterial_spot,16
Peach___healthy,17
"Pepper,_bell___Bacterial_spot",18
"Pepper,_bell___healthy",19
