image_path,label,label_encoded
dataset\healthy\0007_0317.JPG,healthy,0
dataset\healthy\0011_0033.JPG,healthy,0
dataset\healthy\0004_0169.JPG,healthy,0
dataset\healthy\0005_0121.JPG,healthy,0
dataset\healthy\0010_0127.JPG,healthy,0
dataset\unhealthy\0017_0284.JPG,unhealthy,1
dataset\healthy\0001_0043.JPG,healthy,0
dataset\healthy\0002_0106.JPG,healthy,0
dataset\healthy\0007_0155.JPG,healthy,0
dataset\healthy\0002_0004.JPG,healthy,0
dataset\healthy\0010_0075.JPG,healthy,0
dataset\unhealthy\0012_0213.JPG,unhealthy,1
dataset\healthy\0010_0014.JPG,healthy,0
dataset\unhealthy\0018_0036.JPG,unhealthy,1
dataset\healthy\0009_0231.JPG,healthy,0
dataset\healthy\0001_0033.JPG,healthy,0
dataset\unhealthy\0021_0008.JPG,unhealthy,1
dataset\unhealthy\0012_0243.JPG,unhealthy,1
dataset\healthy\0007_0204.JPG,healthy,0
dataset\unhealthy\0012_0183.JPG,unhealthy,1
dataset\unhealthy\0020_0136.JPG,unhealthy,1
dataset\unhealthy\0012_0118.JPG,unhealthy,1
dataset\unhealthy\0012_0229.JPG,unhealthy,1
dataset\healthy\0003_0144.JPG,healthy,0
dataset\healthy\0007_0216.JPG,healthy,0
dataset\healthy\0009_0162.JPG,healthy,0
dataset\unhealthy\0019_0143.JPG,unhealthy,1
dataset\healthy\0006_0055.JPG,healthy,0
dataset\healthy\0001_0107.JPG,healthy,0
dataset\unhealthy\0017_0305.JPG,unhealthy,1
dataset\unhealthy\0017_0076.JPG,unhealthy,1
dataset\healthy\0010_0117.JPG,healthy,0
dataset\unhealthy\0017_0184.JPG,unhealthy,1
dataset\healthy\0001_0108.JPG,healthy,0
dataset\unhealthy\0019_0234.JPG,unhealthy,1
dataset\unhealthy\0014_0151.JPG,unhealthy,1
dataset\unhealthy\0014_0092.JPG,unhealthy,1
dataset\unhealthy\0019_0063.JPG,unhealthy,1
dataset\unhealthy\0012_0251.JPG,unhealthy,1
dataset\healthy\0005_0064.JPG,healthy,0
dataset\healthy\0002_0178.JPG,healthy,0
dataset\healthy\0010_0142.JPG,healthy,0
dataset\unhealthy\0014_0245.JPG,unhealthy,1
dataset\healthy\0007_0106.JPG,healthy,0
dataset\healthy\0004_0106.JPG,healthy,0
dataset\unhealthy\0020_0096.JPG,unhealthy,1
dataset\healthy\0007_0250.JPG,healthy,0
